Pagina,Apparaatcategorie,Besturingssysteem,Browser,Browserversie,Unieke paginaweergaves
/templates/bestellen.asp,desktop,Windows,Chrome,43.0.2357.81,4
/templates/bestellen.asp,desktop,Windows,Chrome,47.0.2526.73,4
/templates/bestellen.asp,desktop,Windows,Chrome,47.0.2526.80,4
/templates/bestellen.asp,desktop,Windows,Firefox,28.0,4
/templates/bestellen.asp,mobile,Android,Chrome,47.0.2526.83,4
/templates/bestellen.asp,mobile,Android,Chrome,48.0.2564.95,4
/templates/bestellen.asp,tablet,iOS,Safari,9537.53,4
/templates/winkelwagen.asp,desktop,Macintosh,Safari,6.1.4,4
/templates/winkelwagen.asp,desktop,Macintosh,Safari,7.0.3,4
/templates/winkelwagen.asp,desktop,Windows,Chrome,37.0.2062.103,4
/templates/winkelwagen.asp,desktop,Windows,Chrome,39.0.2171.65,4
/templates/winkelwagen.asp,desktop,Windows,Chrome,40.0.2214.94,4
/templates/winkelwagen.asp,desktop,Windows,Chrome,45.0.2454.101,4
/templates/winkelwagen.asp,desktop,Windows,Chrome,47.0.2526.73,4
/templates/winkelwagen.asp,mobile,Android,Chrome,47.0.2526.83,4
/templates/winkelwagen.asp,mobile,Android,Chrome,48.0.2564.95,4
/shop/checkout.asp,desktop,Macintosh,Firefox,29.0,3
/shop/checkout.asp,desktop,Macintosh,Firefox,38.0,3
/shop/checkout.asp,desktop,Macintosh,Safari,6.1.4,3
/shop/checkout.asp,desktop,Macintosh,Safari,7.0.3,3
/shop/checkout.asp,desktop,Macintosh,Safari,7.0.4,3
/shop/checkout.asp,desktop,Macintosh,Safari,8.0,3
/shop/checkout.asp,desktop,Macintosh,Safari,8.0.8,3
/shop/checkout.asp,desktop,Windows,Chrome,34.0.1847.137,3
/shop/checkout.asp,desktop,Windows,Chrome,37.0.2062.103,3
/shop/checkout.asp,desktop,Windows,Chrome,40.0.2214.94,3
/shop/checkout.asp,desktop,Windows,Chrome,43.0.2357.132,3
